Date/Time,Temperature (*C),,
09/14/07 10:00:00.0,23.93,Serial Number:     905377,Series: Temperature (*C)
09/14/07 10:15:00.0,23.978,,
09/14/07 10:30:00.0,24.05,Series,Temperature (*C)
09/14/07 10:45:00.0,24.122,Logger Info,Information specific to the logger
09/14/07 11:00:00.0,24.195,Model,HOBO Water Temp Pro [H20-001]
09/14/07 11:15:00.0,24.267,Serial Number,905377
09/14/07 11:30:00.0,24.363,Memory Size (Bytes),32768
09/14/07 11:45:00.0,24.436,Deployment,10
09/14/07 12:00:00.0,24.484,Series Info,Information about the data in the series
09/14/07 12:15:00.0,24.557,Points Used,13649
09/14/07 12:30:00.0,24.605,First Point,09/14/07 10:00:00.0
09/14/07 12:45:00.0,24.605,Last Point,02/03/08 14:00:00.0
09/14/07 13:00:00.0,24.653,Duration,142 Days 04:00:00.0
09/14/07 13:15:00.0,24.677,Stats,Calculated from the series
09/14/07 13:30:00.0,24.726,Wrap Count,0
09/14/07 13:45:00.0,24.774,Max Value,30.98
09/14/07 14:00:00.0,24.798,Min Value,23.35
09/14/07 14:15:00.0,24.823,Avg Value,27.71
09/14/07 14:30:00.0,24.823,Launch Parameters,
09/14/07 14:45:00.0,24.895,Load Time,09/13/2007 23:07:34 GMT   09/13/2007 12:07:34 Local
09/14/07 15:00:00.0,24.944,Launch Time,09/13/2007 23:07:36 GMT   09/13/2007 12:07:36 Local
09/14/07 15:15:00.0,24.944,Logging Time,09/14/2007 18:00:00 GMT   09/14/2007 07:00:00 Local
09/14/07 15:30:00.0,24.944,Sampling Interval,900
09/14/07 15:45:00.0,24.919,Wrap,0 = (FALSE/OFF/OPEN/TYPE 0)
09/14/07 16:00:00.0,25.04,Stealth Enable,0 = (FALSE/OFF/OPEN/TYPE 0)
09/14/07 16:15:00.0,24.992,End of Data,0x5187_04
09/14/07 16:30:00.0,24.919,Wrap Count,0
09/14/07 16:45:00.0,24.919,Description String,Tile Site 1
09/14/07 17:00:00.0,24.871,Time Zone,GMT-480 Minutes TZ set on Launch
09/14/07 17:15:00.0,24.847,,
09/14/07 17:30:00.0,24.532,,
09/14/07 17:45:00.0,24.388,,
09/14/07 18:00:00.0,24.436,,
09/14/07 18:15:00.0,24.388,,
09/14/07 18:30:00.0,24.388,,
09/14/07 18:45:00.0,24.388,,
09/14/07 19:00:00.0,24.363,,
09/14/07 19:15:00.0,24.388,,
09/14/07 19:30:00.0,24.291,,
09/14/07 19:45:00.0,24.195,,
09/14/07 20:00:00.0,24.098,,
09/14/07 20:15:00.0,24.026,,
09/14/07 20:30:00.0,23.93,,
09/14/07 20:45:00.0,23.857,,
09/14/07 21:00:00.0,23.809,,
09/14/07 21:15:00.0,23.761,,
09/14/07 21:30:00.0,23.737,,
09/14/07 21:45:00.0,23.689,,
09/14/07 22:00:00.0,23.665,,
09/14/07 22:15:00.0,23.641,,
09/14/07 22:30:00.0,23.665,,
09/14/07 22:45:00.0,23.761,,
09/14/07 23:00:00.0,23.785,,
09/14/07 23:15:00.0,23.737,,
09/14/07 23:30:00.0,23.689,,
09/14/07 23:45:00.0,23.641,,
09/15/07 00:00:00.0,23.617,,
09/15/07 00:15:00.0,23.569,,
09/15/07 00:30:00.0,23.545,,
09/15/07 00:45:00.0,23.545,,
09/15/07 01:00:00.0,23.497,,
09/15/07 01:15:00.0,23.497,,
09/15/07 01:30:00.0,23.497,,
09/15/07 01:45:00.0,23.448,,
09/15/07 02:00:00.0,23.448,,
09/15/07 02:15:00.0,23.448,,
09/15/07 02:30:00.0,23.448,,
09/15/07 02:45:00.0,23.472,,
09/15/07 03:00:00.0,23.448,,
09/15/07 03:15:00.0,23.448,,
09/15/07 03:30:00.0,23.448,,
09/15/07 03:45:00.0,23.424,,
09/15/07 04:00:00.0,23.424,,
09/15/07 04:15:00.0,23.424,,
09/15/07 04:30:00.0,23.424,,
09/15/07 04:45:00.0,23.424,,
09/15/07 05:00:00.0,23.4,,
09/15/07 05:15:00.0,23.4,,
09/15/07 05:30:00.0,23.376,,
09/15/07 05:45:00.0,23.376,,
09/15/07 06:00:00.0,23.352,,
09/15/07 06:15:00.0,23.376,,
09/15/07 06:30:00.0,23.376,,
09/15/07 06:45:00.0,23.424,,
09/15/07 07:00:00.0,23.472,,
09/15/07 07:15:00.0,23.545,,
09/15/07 07:30:00.0,23.593,,
09/15/07 07:45:00.0,23.665,,
09/15/07 08:00:00.0,23.665,,
09/15/07 08:15:00.0,23.737,,
09/15/07 08:30:00.0,23.737,,
09/15/07 08:45:00.0,23.833,,
09/15/07 09:00:00.0,23.93,,
09/15/07 09:15:00.0,23.905,,
09/15/07 09:30:00.0,23.978,,
09/15/07 09:45:00.0,24.195,,
09/15/07 10:00:00.0,24.339,,
09/15/07 10:15:00.0,24.436,,
09/15/07 10:30:00.0,24.532,,
09/15/07 10:45:00.0,24.557,,
09/15/07 11:00:00.0,24.629,,
09/15/07 11:15:00.0,24.653,,
09/15/07 11:30:00.0,24.605,,
09/15/07 11:45:00.0,24.557,,
09/15/07 12:00:00.0,24.629,,
09/15/07 12:15:00.0,24.605,,
09/15/07 12:30:00.0,24.653,,
09/15/07 12:45:00.0,24.968,,
09/15/07 13:00:00.0,25.04,,
09/15/07 13:15:00.0,25.04,,
09/15/07 13:30:00.0,25.113,,
09/15/07 13:45:00.0,25.137,,
09/15/07 14:00:00.0,25.21,,
09/15/07 14:15:00.0,25.21,,
09/15/07 14:30:00.0,25.501,,
09/15/07 14:45:00.0,25.307,,
09/15/07 15:00:00.0,25.234,,
09/15/07 15:15:00.0,25.501,,
09/15/07 15:30:00.0,25.55,,
09/15/07 15:45:00.0,25.623,,
09/15/07 16:00:00.0,25.768,,
09/15/07 16:15:00.0,25.841,,
09/15/07 16:30:00.0,25.987,,
09/15/07 16:45:00.0,25.987,,
09/15/07 17:00:00.0,25.574,,
09/15/07 17:15:00.0,25.331,,
09/15/07 17:30:00.0,25.089,,
09/15/07 17:45:00.0,24.871,,
09/15/07 18:00:00.0,24.677,,
09/15/07 18:15:00.0,24.532,,
09/15/07 18:30:00.0,24.944,,
09/15/07 18:45:00.0,25.04,,
09/15/07 19:00:00.0,24.992,,
09/15/07 19:15:00.0,24.919,,
09/15/07 19:30:00.0,24.847,,
09/15/07 19:45:00.0,24.774,,
09/15/07 20:00:00.0,24.726,,
09/15/07 20:15:00.0,24.653,,
09/15/07 20:30:00.0,24.605,,
09/15/07 20:45:00.0,24.557,,
09/15/07 21:00:00.0,24.532,,
09/15/07 21:15:00.0,24.484,,
09/15/07 21:30:00.0,24.46,,
09/15/07 21:45:00.0,24.436,,
09/15/07 22:00:00.0,24.436,,
09/15/07 22:15:00.0,24.412,,
09/15/07 22:30:00.0,24.412,,
09/15/07 22:45:00.0,25.501,,
09/15/07 23:00:00.0,24.412,,
09/15/07 23:15:00.0,24.219,,
09/15/07 23:30:00.0,24.122,,
09/15/07 23:45:00.0,24.05,,
09/16/07 00:00:00.0,24.002,,
09/16/07 00:15:00.0,23.978,,
09/16/07 00:30:00.0,23.954,,
09/16/07 00:45:00.0,23.954,,
09/16/07 01:00:00.0,23.93,,
09/16/07 01:15:00.0,23.93,,
09/16/07 01:30:00.0,23.905,,
09/16/07 01:45:00.0,23.881,,
09/16/07 02:00:00.0,23.857,,
09/16/07 02:15:00.0,23.881,,
09/16/07 02:30:00.0,23.857,,
09/16/07 02:45:00.0,23.857,,
09/16/07 03:00:00.0,23.833,,
09/16/07 03:15:00.0,23.833,,
09/16/07 03:30:00.0,23.833,,
09/16/07 03:45:00.0,23.809,,
09/16/07 04:00:00.0,23.809,,
09/16/07 04:15:00.0,23.785,,
09/16/07 04:30:00.0,23.761,,
09/16/07 04:45:00.0,23.761,,
09/16/07 05:00:00.0,23.761,,
09/16/07 05:15:00.0,23.737,,
09/16/07 05:30:00.0,23.713,,
09/16/07 05:45:00.0,23.665,,
09/16/07 06:00:00.0,23.641,,
09/16/07 06:15:00.0,23.641,,
09/16/07 06:30:00.0,23.617,,
09/16/07 06:45:00.0,23.617,,
09/16/07 07:00:00.0,23.617,,
09/16/07 07:15:00.0,23.641,,
09/16/07 07:30:00.0,24.195,,
09/16/07 07:45:00.0,25.089,,
09/16/07 08:00:00.0,26.598,,
09/16/07 08:15:00.0,25.598,,
09/16/07 08:30:00.0,25.939,,
09/16/07 08:45:00.0,27.825,,
09/16/07 09:00:00.0,29.565,,
09/16/07 09:15:00.0,29.89,,
09/16/07 09:30:00.0,28.642,,
09/16/07 09:45:00.0,29.615,,
09/16/07 10:00:00.0,25.914,,
09/16/07 10:15:00.0,24.629,,
09/16/07 10:30:00.0,24.605,,
09/16/07 10:45:00.0,25.623,,
09/16/07 11:00:00.0,26.965,,
09/16/07 11:15:00.0,27.825,,
09/16/07 11:30:00.0,28.122,,
09/16/07 11:45:00.0,28.147,,
09/16/07 12:00:00.0,28.221,,
09/16/07 12:15:00.0,28.221,,
09/16/07 12:30:00.0,27.949,,
09/16/07 12:45:00.0,27.924,,
09/16/07 13:00:00.0,28.147,,
09/16/07 13:15:00.0,28.147,,
09/16/07 13:30:00.0,27.998,,
09/16/07 13:45:00.0,27.875,,
09/16/07 14:00:00.0,27.702,,
09/16/07 14:15:00.0,27.604,,
09/16/07 14:30:00.0,27.481,,
09/16/07 14:45:00.0,27.604,,
09/16/07 15:00:00.0,27.505,,
09/16/07 15:15:00.0,27.456,,
09/16/07 15:30:00.0,27.456,,
09/16/07 15:45:00.0,27.284,,
09/16/07 16:00:00.0,27.21,,
09/16/07 16:15:00.0,27.186,,
09/16/07 16:30:00.0,27.186,,
09/16/07 16:45:00.0,27.161,,
09/16/07 17:00:00.0,27.21,,
09/16/07 17:15:00.0,27.186,,
09/16/07 17:30:00.0,27.161,,
09/16/07 17:45:00.0,27.161,,
09/16/07 18:00:00.0,27.186,,
09/16/07 18:15:00.0,27.186,,
09/16/07 18:30:00.0,27.21,,
