Date/Time,Temperature (*C),,
01/17/07 12:00:00.0,28.369,,
01/17/07 12:15:00.0,28.642,,
01/17/07 12:30:00.0,28.717,Series,Temperature (*C)
01/17/07 12:45:00.0,28.493,Logger Info,Information specific to the logger
01/17/07 13:00:00.0,28.419,Model,HOBO Water Temp Pro [H20-001]
01/17/07 13:15:00.0,28.345,Serial Number,818724
01/17/07 13:30:00.0,28.32,Memory Size (Bytes),32768
01/17/07 13:45:00.0,28.245,Deployment,6
01/17/07 14:00:00.0,28.295,Series Info,Information about the data in the series
01/17/07 14:15:00.0,28.419,Points Used,21580
01/17/07 14:30:00.0,28.394,First Point,01/17/07 12:00:00.0
01/17/07 14:45:00.0,28.32,Last Point,08/30/07 07:45:00.0
01/17/07 15:00:00.0,28.345,Duration,224 Days 18:45:00.0
01/17/07 15:15:00.0,28.32,Stats,Calculated from the series
01/17/07 15:30:00.0,28.32,Wrap Count,0
01/17/07 15:45:00.0,28.27,Max Value,31.05
01/17/07 16:00:00.0,28.245,Min Value,25.96
01/17/07 16:15:00.0,28.245,Avg Value,28.45
01/17/07 16:30:00.0,28.27,Launch Parameters,
01/17/07 16:45:00.0,28.245,Load Time,01/17/2007 04:33:46 GMT   01/16/2007 20:33:46 Local
01/17/07 17:00:00.0,28.221,Launch Time,01/17/2007 04:33:47 GMT   01/16/2007 20:33:47 Local
01/17/07 17:15:00.0,28.221,Logging Time,01/17/2007 20:00:00 GMT   01/17/2007 12:00:00 Local
01/17/07 17:30:00.0,28.221,Sampling Interval,900
01/17/07 17:45:00.0,28.221,Wrap,0 = (FALSE/OFF/OPEN/TYPE 0)
01/17/07 18:00:00.0,28.221,Stealth Enable,0 = (FALSE/OFF/OPEN/TYPE 0)
01/17/07 18:15:00.0,28.171,End of Data,0x8000_04
01/17/07 18:30:00.0,28.171,Wrap Count,0
01/17/07 18:45:00.0,28.122,Description String,Tile Site 9
01/17/07 19:00:00.0,28.122,Time Zone,GMT-480 Minutes TZ set on Launch
01/17/07 19:15:00.0,28.097,,
01/17/07 19:30:00.0,28.122,,
01/17/07 19:45:00.0,28.122,,
01/17/07 20:00:00.0,28.147,,
01/17/07 20:15:00.0,28.147,,
01/17/07 20:30:00.0,28.147,,
01/17/07 20:45:00.0,28.122,,
01/17/07 21:00:00.0,28.122,,
01/17/07 21:15:00.0,28.122,,
01/17/07 21:30:00.0,28.147,,
01/17/07 21:45:00.0,28.147,,
01/17/07 22:00:00.0,28.147,,
01/17/07 22:15:00.0,28.147,,
01/17/07 22:30:00.0,28.147,,
01/17/07 22:45:00.0,28.122,,
01/17/07 23:00:00.0,28.122,,
01/17/07 23:15:00.0,28.122,,
01/17/07 23:30:00.0,28.122,,
01/17/07 23:45:00.0,28.122,,
01/18/07 00:00:00.0,28.097,,
01/18/07 00:15:00.0,28.072,,
01/18/07 00:30:00.0,28.072,,
01/18/07 00:45:00.0,28.072,,
